"pathway","source","size","FAC_vs_Cont:
p-value","FAC_vs_Cont:
Benjamin-Hochberg adjusted p-value","FAC_vs_Cont:
Normalized enrichment score","LiproxposFAC_vs_Cont:
p-value","LiproxposFAC_vs_Cont:
Benjamin-Hochberg adjusted p-value","LiproxposFAC_vs_Cont:
Normalized enrichment score","MTposFAC_vs_Cont:
p-value","MTposFAC_vs_Cont:
Benjamin-Hochberg adjusted p-value","MTposFAC_vs_Cont:
Normalized enrichment score"
"BIOCARTA_41BB_PATHWAY","BIOCARTA",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ACE2_PATHWAY","BIOCARTA",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ACH_PATHWAY","BIOCARTA",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ACTINY_PATHWAY","BIOCARTA",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_AGPCR_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_AGR_PATHWAY","BIOCARTA",33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_AHSP_PATHWAY","BIOCARTA",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_AKAP13_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_AKAP95_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_AKAPCENTROSOME_PATHWAY","BIOCARTA",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_AKT_PATHWAY","BIOCARTA",22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ALK_PATHWAY","BIOCARTA",37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ALTERNATIVE_PATHWAY","BIOCARTA",9,0.5598377281947262,0.8595684083689342,-0.9686669102015447,0.6301923076923077,0.7794831478793743,0.8986351999948751,0.7329579730544943,0.8931155160456185,0.8130931966874718
"BIOCARTA_AMAN_PATHWAY","BIOCARTA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_AMI_PATHWAY","BIOCARTA",20,0.4377281947261663,0.8595684083689342,-1.0625592848512198,0.06329377472413075,0.41907991620737506,-1.4135555022691462,0.14277192284748458,0.6297434888468065,-1.3170904667326992
"BIOCARTA_ARAP_PATHWAY","BIOCARTA",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ARENRF2_PATHWAY","BIOCARTA",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ARF_PATHWAY","BIOCARTA",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ASBCELL_PATHWAY","BIOCARTA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_AT1R_PATHWAY","BIOCARTA",27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ATM_PATHWAY","BIOCARTA",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ATRBRCA_PATHWAY","BIOCARTA",22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_BAD_PATHWAY","BIOCARTA",25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_BARD1_PATHWAY","BIOCARTA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_BARR_MAPK_PATHWAY","BIOCARTA",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_BARRESTIN_PATHWAY","BIOCARTA",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_BARRESTIN_SRC_PATHWAY","BIOCARTA",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_BBCELL_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_BCELLSURVIVAL_PATHWAY","BIOCARTA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_BCR_PATHWAY","BIOCARTA",33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_BIOPEPTIDES_PATHWAY","BIOCARTA",29,0.7410678442392613,0.8595684083689342,-0.8430749508093441,0.21633825944170773,0.41907991620737506,-1.193940815222972,0.3895870736086176,0.6297434888468065,-1.0767207605458127
"BIOCARTA_BLYMPHOCYTE_PATHWAY","BIOCARTA",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_BOTULIN_PATHWAY","BIOCARTA",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_BTG2_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CACAM_PATHWAY","BIOCARTA",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CALCINEURIN_PATHWAY","BIOCARTA",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CARDIACEGF_PATHWAY","BIOCARTA",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CARM_ER_PATHWAY","BIOCARTA",26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CARM1_PATHWAY","BIOCARTA",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CASPASE_PATHWAY","BIOCARTA",22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CB1R_PATHWAY","BIOCARTA",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CBL_PATHWAY","BIOCARTA",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CCR3_PATHWAY","BIOCARTA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CCR5_PATHWAY","BIOCARTA",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CD40_PATHWAY","BIOCARTA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CDC25_PATHWAY","BIOCARTA",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CDC42RAC_PATHWAY","BIOCARTA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CDK5_PATHWAY","BIOCARTA",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CDMAC_PATHWAY","BIOCARTA",16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CELL2CELL_PATHWAY","BIOCARTA",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CELLCYCLE_PATHWAY","BIOCARTA",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CERAMIDE_PATHWAY","BIOCARTA",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CFTR_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CHEMICAL_PATHWAY","BIOCARTA",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CHREBP_PATHWAY","BIOCARTA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CIRCADIAN_PATHWAY","BIOCARTA",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CK1_PATHWAY","BIOCARTA",16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CLASSIC_PATHWAY","BIOCARTA",15,0.46917109024091463,0.8595684083689342,-1.0255554187064686,0.6295873740254802,0.7794831478793743,0.874749169598001,0.8084223013048636,0.8931155160456185,0.7179029605878836
"BIOCARTA_COMP_PATHWAY","BIOCARTA",20,0.46917109024091463,0.8595684083689342,-1.0255554187064686,0.6295873740254802,0.7794831478793743,0.874749169598001,0.8084223013048636,0.8931155160456185,0.7179029605878836
"BIOCARTA_CPSF_PATHWAY","BIOCARTA",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CREB_PATHWAY","BIOCARTA",22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CREM_PATHWAY","BIOCARTA",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CSK_PATHWAY","BIOCARTA",22,NA,NA,NA,NA,NA,NA,NA,NA,NA
