EnsemblID,p22074-s001_Cont1_S141.unstranded_count,p22074-s002_Cont2_S142.unstranded_count,p22074-s003_Cont3_S143.unstranded_count,p22074-s004_FAC1_S144.unstranded_count,p22074-s005_FAC2_S145.unstranded_count,p22074-s006_FAC3_S146.unstranded_count,p22074-s007_LiproxposFAC1_S147.unstranded_count,p22074-s008_LiproxposFAC2_S148.unstranded_count,p22074-s009_LiproxposFAC3_S149.unstranded_count,p22074-s010_MTposFAC1_S150.unstranded_count,p22074-s011_MTposFAC2_S151.unstranded_count,p22074-s012_MTposFAC3_S152.unstranded_count
ENSMUSG00000102693,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,3,9,13,2,0,0,12,12,2,24,20,17
ENSMUSG00000102851,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104017,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147,0,0,1,3,0,1,0,1,0,1,0,0
ENSMUSG00000103161,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102331,0,0,0,1,0,0,3,4,3,0,4,0
ENSMUSG00000102348,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025900,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102948,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902,3,3,12,11,3,4,8,10,2,6,12,12
ENSMUSG00000104238,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102269,0,0,0,1,1,3,0,0,0,0,4,0
ENSMUSG00000096126,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102735,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098104,1,1,3,5,0,4,4,1,3,3,2,0
ENSMUSG00000102175,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088000,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103922,32,6,24,50,5,20,21,9,21,27,12,17
ENSMUSG00000033845,1342,1410,1436,1223,195,1231,1476,1400,1173,1607,1689,1186
ENSMUSG00000102275,0,0,1,0,0,0,1,0,0,0,0,0
ENSMUSG00000025903,1564,1493,1976,1378,191,1293,1888,1988,1151,1611,1297,1663
ENSMUSG00000104217,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033813,1138,1132,1199,1277,193,1136,1180,1472,1037,1352,1209,1151
ENSMUSG00000062588,6,4,8,10,0,5,2,4,7,8,8,8
ENSMUSG00000103280,3,0,0,1,0,0,0,1,0,1,0,0
ENSMUSG00000002459,0,0,0,0,0,2,1,0,0,1,0,1
ENSMUSG00000091305,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102653,0,2,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000085623,0,0,0,0,0,5,0,0,0,0,0,0
ENSMUSG00000091665,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033793,4081,4401,3874,6049,919,5336,5489,5794,5290,5257,5647,3855
ENSMUSG00000104352,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025905,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103936,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,1781,2072,1798,2373,365,1858,3082,3074,2525,2988,2949,2170
ENSMUSG00000090031,17,42,38,24,8,28,33,28,38,65,67,22
ENSMUSG00000087247,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103355,2,6,2,20,2,8,7,4,8,7,8,6
ENSMUSG00000102706,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103845,0,0,3,4,0,0,0,0,3,4,0,2
ENSMUSG00000033740,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103329,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000102135,0,0,2,5,0,2,0,0,0,0,1,1
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051285,1309,1349,1388,1279,168,1054,1846,1710,1272,1904,1530,1527
ENSMUSG00000098201,1,1,1,2,0,4,0,2,0,1,0,0
ENSMUSG00000103509,0,0,1,8,0,0,5,1,3,0,1,2
ENSMUSG00000048538,23,23,41,76,7,30,23,22,13,26,24,22
ENSMUSG00000103709,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097797,4,6,1,1,0,9,4,3,1,5,5,5
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025909,1,0,0,0,0,0,0,0,3,0,1,0
ENSMUSG00000102647,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086235,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102253,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093970,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103884,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000084353,0,0,2,10,0,3,1,0,2,0,0,1
ENSMUSG00000103933,0,1,2,1,0,0,1,0,1,1,0,0
ENSMUSG00000076135,0,1,1,4,0,0,1,1,1,0,1,2
ENSMUSG00000086195,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504,0,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000066693,3,1,7,2,0,3,2,1,0,3,1,1
ENSMUSG00000102316,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103819,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102871,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101571,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104428,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102272,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065625,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103411,0,0,0,0,0,0,0,0,1,0,0,0
