gene_id,p22074-s001,p22074-s002,p22074-s003,p22074-s004,p22074-s005,p22074-s006,p22074-s007,p22074-s008,p22074-s009,p22074-s010,p22074-s011,p22074-s012
X4933401J01Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,3,9,13,2,0,0,12,12,2,24,20,17
Gm18956,0,0,0,0,0,0,0,0,0,0,0,0
Gm37180,0,1,0,0,0,0,0,0,0,0,0,0
Gm37363,0,0,0,0,0,0,1,0,0,0,0,0
Gm37686,0,0,0,0,0,0,0,0,0,0,0,0
Gm1992,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0,0,0,0,0,0,0
Gm7341,0,0,1,3,0,1,0,1,0,1,0,0
Gm38148,0,0,0,0,0,0,0,0,0,0,0,0
Gm19938,0,0,0,1,0,0,3,4,3,0,4,0
Gm10568,0,0,0,0,0,0,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,0,0,0,0,0,0,0,0,0,0,0,0
Rp1,0,0,0,0,0,0,0,0,0,0,0,0
Gm6101,0,0,0,0,0,0,0,0,0,0,0,0
Gm37483,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,3,3,12,11,3,4,8,10,2,6,12,12
Gm37587,0,0,0,0,0,0,0,0,0,0,0,0
Gm7357,0,0,0,1,1,3,0,0,0,0,4,0
Gm22307,0,0,0,0,0,0,0,0,0,0,0,0
Gm38076,0,0,0,0,0,0,0,0,0,0,0,0
Gm37323,0,0,0,0,0,0,0,0,0,0,0,0
Gm7369,0,0,0,0,0,0,0,0,0,0,0,0
Gm6085,1,1,3,5,0,4,4,1,3,3,2,0
Gm6119,0,0,0,0,0,0,0,0,0,0,0,0
Gm25493,0,0,0,0,0,0,0,0,0,0,0,0
Gm2053,0,0,0,0,0,0,0,0,0,0,0,0
Gm6123,32,6,24,50,5,20,21,9,21,27,12,17
Mrpl15,1342,1410,1436,1223,195,1231,1476,1400,1173,1607,1689,1186
Gm37144,0,0,1,0,0,0,1,0,0,0,0,0
Lypla1,1564,1493,1976,1378,191,1293,1888,1988,1151,1611,1297,1663
Gm37988,0,0,0,0,0,0,0,0,0,0,0,0
Tcea1,1138,1132,1199,1277,193,1136,1180,1472,1037,1352,1209,1151
Gm6104,6,4,8,10,0,5,2,4,7,8,8,8
Gm37277,3,0,0,1,0,0,0,1,0,1,0,0
Rgs20,0,0,0,0,0,2,1,0,0,1,0,1
Gm17100,0,0,0,0,0,0,0,0,0,0,0,0
Gm37079,0,2,0,1,0,0,0,0,0,0,0,0
Gm16041,0,0,0,0,0,5,0,0,0,0,0,0
Gm17101,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v1h,4081,4401,3874,6049,919,5336,5489,5794,5290,5257,5647,3855
Gm7182,0,0,0,0,0,0,0,0,0,0,0,0
Gm37567,0,0,0,0,0,0,0,0,0,0,0,0
Gm38264,0,0,0,0,0,0,0,0,0,0,0,0
Oprk1,0,0,0,0,0,0,0,0,0,0,0,0
Gm36965,0,0,0,0,0,0,0,0,0,0,0,0
Gm22463,0,0,0,0,0,1,0,0,0,0,0,0
Gm37429,0,0,0,0,0,0,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0,0,0,0,0
